Name,FileName,BitDepth,Format,FrameRate,0,width,height,Frames,Level
BeachMountain,BeachMountain_3840x2160_30fps_420_10bit.yuv,10,420,30,0,3840,2160,300,5.1
BuildingHall2,BuildingHall2_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,500,5.1
Cosmos1,Cosmos1_1920x856_BT2100_PQ_24fps_420.yuv,10,420,24,0,1920,856,240,4.1
DroneTakeOff,DroneTakeOff_3840x2160_30fps_420_10bit.yuv,10,420,30,0,3840,2160,300,5.1
FlyingBirds2,FlyingBirds2_3840x2160p_60_10b_HLG_420.yuv,10,420,60,0,3840,2160,300,5.1
Hurdles,Hurdles_1920x1080p_50_10b_pq_709_ct2020_420_rev1.yuv,10,420,50,0,1920,1080,500,4.1
Market3,Market3_1920x1080p_50_10b_pq_709_ct2020_420_rev1.yuv,10,420,50,0,1920,1080,400,4.1
MountainBay,MountainBay_3840x2160_30fps_420_10bit.yuv,10,420,30,0,3840,2160,300,5.1
RollerCoaster2,RollerCoaster2_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,300,5.1
ShowGirl2Teaser,ShowGirl2TeaserClip4000_1920x1080p_24_12_P3_ct2020_rev1.yuv,10,420,24,0,1920,1080,339,4.1
Starting,Starting_1920x1080p_50_10b_pq_709_ct2020_420_rev1.yuv,10,420,50,0,1920,1080,500,4.1
SunsetBeach,SunsetBeach_3840x2160p_60_10b_HLG_420.yuv,10,420,60,0,3840,2160,600,5.1
Timelapse,Timelapse_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
ToddlerFountain2,ToddlerFountain2_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,300,5.1
Aerial,Netflix_Aerial_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
RollerCoaster,Netflix_RollerCoaster_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
WindAndNature,Netflix_WindAndNature_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
SquareAndTimelapse,Netflix_SquareAndTimelapse_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
TunnelFlag,Netflix_TunnelFlag_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Boat,Netflix_Boat_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Crosswalk,Netflix_Crosswalk_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
FoodMarket2,Netflix_FoodMarket2_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
Narrator,Netflix_Narrator_4096x2160_60fps_10bit_420.yuv,10,420,60,0,4096,2160,300,5.1
duckstakeoff,ducks_take_off_1080p50.yuv,8,420,50,0,1920,1080,300,4.1
parkjoy,park_joy_1080p50.yuv,8,420,50,0,1920,1080,300,4.1
BundNightscape,BundNightscape_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
ConstructionField,ConstructionField_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Fountains,Fountains_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Library,Library_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Marathon,Marathon_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
ResidentialBuilding,ResidentialBuilding_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Runners,Runners_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
RushHour,RushHour_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Scarf,Scarf_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
TallBuildings,TallBuildings_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
TrafficAndBuilding,TrafficAndBuilding_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
TrafficFlow,TrafficFlow_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
RTreeShade,RTreeShade_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
Wood,Wood_3840x2160_30fps_10bit_420.yuv,10,420,30,0,3840,2160,300,5.1
tango2,Tango2_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,294,5.1
foodmarket4,FoodMarket4_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,300,5.1
campfire,Campfire_3840x2160_30fps_10bit_420_bt709_videoRange.yuv,10,420,30,0,3840,2160,300,5.1
catrobot1,CatRobot1_3840x2160p_60_10_709_420.yuv,10,420,60,0,3840,2160,300,5.1
daylightroad2,DaylightRoad2_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,300,5.1
parkrunning3,ParkRunning3_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,300,5.1
marketplace,MarketPlace_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
ritualdance,RitualDance_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
cactus,Cactus_1920x1080_50.yuv,8,420,50,0,1920,1080,500,4.1
basketballdrive,BasketballDrive_1920x1080_50.yuv,8,420,50,0,1920,1080,500,4.1
bqterrace,BQTerrace_1920x1080_60.yuv,8,420,60,0,1920,1080,600,4.1
basketballdrill,BasketballDrill_832x480_50.yuv,8,420,50,0,832,480,500,3.1
bqmall,BQMall_832x480_60.yuv,8,420,60,0,832,480,600,3.1
partyscene,PartyScene_832x480_50.yuv,8,420,50,0,832,480,500,3.1
racehorsec,RaceHorses_832x480_30.yuv,8,420,30,0,832,480,300,3
basketballpass,BasketballPass_416x240_50.yuv,8,420,50,0,416,240,500,2.1
bqsquare,BQSquare_416x240_60.yuv,8,420,60,0,416,240,600,2.1
blowingbubbles,BlowingBubbles_416x240_50.yuv,8,420,50,0,416,240,500,2.1
racehorses,RaceHorses_416x240_30.yuv,8,420,30,0,416,240,300,2
fourpeople,FourPeople_1280x720_60.yuv,8,420,60,0,1280,720,600,4
johnny,Johnny_1280x720_60.yuv,8,420,60,0,1280,720,600,4
kristenandsara,KristenAndSara_1280x720_60.yuv,8,420,60,0,1280,720,600,4
